image,noise_type,denoising_method,strength,mu,psnr,ssim,output_path
airplaneU2.bmp,gaussian,TV,0.7000000000000001,0.007,32.48962801288723,0.02807599197976662,Testing2\airplaneU2_gaussian_s0.7_m0.007_TV.png
airplaneU2.bmp,gaussian,Moreau-Yosida,0.7000000000000001,0.007,32.75754198177864,0.27335649964229514,Testing2\airplaneU2_gaussian_s0.7_m0.007_MoreauYosida.png
airplaneU2.bmp,gaussian,TV,0.8,0.008,32.45253638671687,0.026910602823594833,Testing2\airplaneU2_gaussian_s0.8_m0.008_TV.png
airplaneU2.bmp,gaussian,Moreau-Yosida,0.8,0.008,32.77776807869413,0.2988079385673206,Testing2\airplaneU2_gaussian_s0.8_m0.008_MoreauYosida.png
airplaneU2.bmp,gaussian,TV,0.9000000000000001,0.009000000000000001,32.395173085262265,0.025265577483520135,Testing2\airplaneU2_gaussian_s0.9_m0.009_TV.png
airplaneU2.bmp,gaussian,Moreau-Yosida,0.9000000000000001,0.009000000000000001,32.81353533111535,0.2715231135903719,Testing2\airplaneU2_gaussian_s0.9_m0.009_MoreauYosida.png
airplaneU2.bmp,gaussian,TV,1.0000000000000002,0.010000000000000002,32.361255328109365,0.024562414207202208,Testing2\airplaneU2_gaussian_s1.0_m0.010_TV.png
airplaneU2.bmp,gaussian,Moreau-Yosida,1.0000000000000002,0.010000000000000002,32.830186013421915,0.29464299833840724,Testing2\airplaneU2_gaussian_s1.0_m0.010_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.1,0.001,30.12690608041013,0.2415383322941729,Testing2\cablecar_salt_pepper_s0.1_m0.001_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.1,0.001,37.116303925478185,0.31747718260983265,Testing2\cablecar_salt_pepper_s0.1_m0.001_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.2,0.002,29.22766271141711,0.1714706494185985,Testing2\cablecar_salt_pepper_s0.2_m0.002_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.2,0.002,37.41584602348955,0.3199261331692473,Testing2\cablecar_salt_pepper_s0.2_m0.002_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.3,0.003,28.926339279966733,0.12590855110025995,Testing2\cablecar_salt_pepper_s0.3_m0.003_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.3,0.003,38.01571728858859,0.3233090656934253,Testing2\cablecar_salt_pepper_s0.3_m0.003_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.4,0.004,28.763416924264078,0.10349078979559691,Testing2\cablecar_salt_pepper_s0.4_m0.004_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.4,0.004,38.23510263378931,0.32533600535262325,Testing2\cablecar_salt_pepper_s0.4_m0.004_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.5,0.005,28.604466553083114,0.08933233343589991,Testing2\cablecar_salt_pepper_s0.5_m0.005_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.5,0.005,38.46778181557673,0.3263332727617988,Testing2\cablecar_salt_pepper_s0.5_m0.005_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.6,0.006,28.5044015971941,0.07900014143442922,Testing2\cablecar_salt_pepper_s0.6_m0.006_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.6,0.006,38.653827637798834,0.32801023662417245,Testing2\cablecar_salt_pepper_s0.6_m0.006_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.7000000000000001,0.007,28.40800871168841,0.06930563168982985,Testing2\cablecar_salt_pepper_s0.7_m0.007_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.7000000000000001,0.007,38.89357241136383,0.33015751757139433,Testing2\cablecar_salt_pepper_s0.7_m0.007_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.8,0.008,28.348501770685672,0.06439496250879938,Testing2\cablecar_salt_pepper_s0.8_m0.008_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.8,0.008,39.05415768031766,0.33064793009368404,Testing2\cablecar_salt_pepper_s0.8_m0.008_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,0.9000000000000001,0.009000000000000001,28.28893297397427,0.05943935506678392,Testing2\cablecar_salt_pepper_s0.9_m0.009_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,0.9000000000000001,0.009000000000000001,39.175147577975245,0.33208972544470045,Testing2\cablecar_salt_pepper_s0.9_m0.009_MoreauYosida.png
cablecar.bmp,salt_pepper,TV,1.0000000000000002,0.010000000000000002,28.240943595353368,0.055299211644652534,Testing2\cablecar_salt_pepper_s1.0_m0.010_TV.png
cablecar.bmp,salt_pepper,Moreau-Yosida,1.0000000000000002,0.010000000000000002,30.3710964101235,0.226932356282923,Testing2\cablecar_salt_pepper_s1.0_m0.010_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.1,0.001,30.982932255699154,0.29339616867747975,Testing2\cablecar_gaussian_s0.1_m0.001_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.1,0.001,32.57716296606989,0.590915175716523,Testing2\cablecar_gaussian_s0.1_m0.001_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.2,0.002,30.2459511225408,0.18443629883693327,Testing2\cablecar_gaussian_s0.2_m0.002_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.2,0.002,32.53487311019688,0.5824003035292439,Testing2\cablecar_gaussian_s0.2_m0.002_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.3,0.003,29.881747675873257,0.13704808466602816,Testing2\cablecar_gaussian_s0.3_m0.003_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.3,0.003,32.64622411764246,0.5934571566594694,Testing2\cablecar_gaussian_s0.3_m0.003_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.4,0.004,29.65128156551231,0.11197824493414842,Testing2\cablecar_gaussian_s0.4_m0.004_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.4,0.004,32.61229663155645,0.5864416131199329,Testing2\cablecar_gaussian_s0.4_m0.004_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.5,0.005,29.451783766284578,0.09617206164059135,Testing2\cablecar_gaussian_s0.5_m0.005_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.5,0.005,32.70005275660544,0.5956842550243556,Testing2\cablecar_gaussian_s0.5_m0.005_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.6,0.006,29.265891307960736,0.0839755202390124,Testing2\cablecar_gaussian_s0.6_m0.006_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.6,0.006,32.677026145409975,0.5898494415139114,Testing2\cablecar_gaussian_s0.6_m0.006_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.7000000000000001,0.007,29.151227596010358,0.07464334729176497,Testing2\cablecar_gaussian_s0.7_m0.007_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.7000000000000001,0.007,30.41957430997315,0.17654219813292182,Testing2\cablecar_gaussian_s0.7_m0.007_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.8,0.008,29.082190227811854,0.06898339606647659,Testing2\cablecar_gaussian_s0.8_m0.008_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.8,0.008,30.442411161691982,0.18142073464813224,Testing2\cablecar_gaussian_s0.8_m0.008_MoreauYosida.png
cablecar.bmp,gaussian,TV,0.9000000000000001,0.009000000000000001,29.002974184999772,0.06343170366375604,Testing2\cablecar_gaussian_s0.9_m0.009_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,0.9000000000000001,0.009000000000000001,30.449176027063423,0.18369271383320068,Testing2\cablecar_gaussian_s0.9_m0.009_MoreauYosida.png
cablecar.bmp,gaussian,TV,1.0000000000000002,0.010000000000000002,28.937638965832335,0.058352421834543075,Testing2\cablecar_gaussian_s1.0_m0.010_TV.png
cablecar.bmp,gaussian,Moreau-Yosida,1.0000000000000002,0.010000000000000002,30.51082637030944,0.19221621499517602,Testing2\cablecar_gaussian_s1.0_m0.010_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.1,0.001,31.246945795403214,0.2471388464246157,Testing2\fruits_salt_pepper_s0.1_m0.001_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.1,0.001,37.27587878016039,0.23204106674513195,Testing2\fruits_salt_pepper_s0.1_m0.001_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.2,0.002,30.37757906933755,0.20598099210255968,Testing2\fruits_salt_pepper_s0.2_m0.002_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.2,0.002,37.643420999799666,0.23557691636802536,Testing2\fruits_salt_pepper_s0.2_m0.002_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.3,0.003,30.01426767621105,0.16910594382785943,Testing2\fruits_salt_pepper_s0.3_m0.003_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.3,0.003,38.14242400712488,0.23907818888544355,Testing2\fruits_salt_pepper_s0.3_m0.003_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.4,0.004,29.774579524915403,0.14689806492360452,Testing2\fruits_salt_pepper_s0.4_m0.004_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.4,0.004,38.43169511850429,0.2419459347916002,Testing2\fruits_salt_pepper_s0.4_m0.004_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.5,0.005,29.61433761467081,0.13263314635783635,Testing2\fruits_salt_pepper_s0.5_m0.005_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.5,0.005,38.669061309491596,0.24357110633581963,Testing2\fruits_salt_pepper_s0.5_m0.005_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.6,0.006,29.52516193776996,0.12288919281576088,Testing2\fruits_salt_pepper_s0.6_m0.006_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.6,0.006,38.865309726446554,0.2458190807407589,Testing2\fruits_salt_pepper_s0.6_m0.006_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.7000000000000001,0.007,29.455034530493553,0.11451958325152976,Testing2\fruits_salt_pepper_s0.7_m0.007_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.7000000000000001,0.007,30.43846804718276,0.19343160750366506,Testing2\fruits_salt_pepper_s0.7_m0.007_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.8,0.008,29.418059955566143,0.1102830286892648,Testing2\fruits_salt_pepper_s0.8_m0.008_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.8,0.008,30.416506064692527,0.19190888094637773,Testing2\fruits_salt_pepper_s0.8_m0.008_MoreauYosida.png
fruits.bmp,salt_pepper,TV,0.9000000000000001,0.009000000000000001,29.353282371987067,0.10506200099290987,Testing2\fruits_salt_pepper_s0.9_m0.009_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,0.9000000000000001,0.009000000000000001,30.361252308911254,0.1871888828241189,Testing2\fruits_salt_pepper_s0.9_m0.009_MoreauYosida.png
fruits.bmp,salt_pepper,TV,1.0000000000000002,0.010000000000000002,29.308534450942744,0.10159211636613336,Testing2\fruits_salt_pepper_s1.0_m0.010_TV.png
fruits.bmp,salt_pepper,Moreau-Yosida,1.0000000000000002,0.010000000000000002,30.348443839658948,0.1868978826473996,Testing2\fruits_salt_pepper_s1.0_m0.010_MoreauYosida.png
fruits.bmp,gaussian,TV,0.1,0.001,31.856893314703555,0.308632371141478,Testing2\fruits_gaussian_s0.1_m0.001_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.1,0.001,33.49380343670113,0.5929384940934959,Testing2\fruits_gaussian_s0.1_m0.001_MoreauYosida.png
fruits.bmp,gaussian,TV,0.2,0.002,30.92375738088429,0.2248398652572417,Testing2\fruits_gaussian_s0.2_m0.002_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.2,0.002,33.52540436750361,0.602130239552889,Testing2\fruits_gaussian_s0.2_m0.002_MoreauYosida.png
fruits.bmp,gaussian,TV,0.3,0.003,30.391278237665603,0.18200502260852566,Testing2\fruits_gaussian_s0.3_m0.003_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.3,0.003,33.60327191552529,0.5972071836045155,Testing2\fruits_gaussian_s0.3_m0.003_MoreauYosida.png
fruits.bmp,gaussian,TV,0.4,0.004,30.08327215746855,0.15849482238893184,Testing2\fruits_gaussian_s0.4_m0.004_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.4,0.004,33.640273528473514,0.5916136122296891,Testing2\fruits_gaussian_s0.4_m0.004_MoreauYosida.png
fruits.bmp,gaussian,TV,0.5,0.005,29.917376904489558,0.14267974146123943,Testing2\fruits_gaussian_s0.5_m0.005_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.5,0.005,33.691699653304,0.6013054230501419,Testing2\fruits_gaussian_s0.5_m0.005_MoreauYosida.png
fruits.bmp,gaussian,TV,0.6,0.006,29.79528861417463,0.13141097666514895,Testing2\fruits_gaussian_s0.6_m0.006_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.6,0.006,30.954403947283073,0.20558719408650927,Testing2\fruits_gaussian_s0.6_m0.006_MoreauYosida.png
fruits.bmp,gaussian,TV,0.7000000000000001,0.007,29.700066806510257,0.12358335772347334,Testing2\fruits_gaussian_s0.7_m0.007_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.7000000000000001,0.007,30.985410160036288,0.20727954819385871,Testing2\fruits_gaussian_s0.7_m0.007_MoreauYosida.png
fruits.bmp,gaussian,TV,0.8,0.008,29.590714252409708,0.11608509745608234,Testing2\fruits_gaussian_s0.8_m0.008_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.8,0.008,31.062574649957103,0.2116234371368682,Testing2\fruits_gaussian_s0.8_m0.008_MoreauYosida.png
fruits.bmp,gaussian,TV,0.9000000000000001,0.009000000000000001,29.518066523010287,0.11041384975609547,Testing2\fruits_gaussian_s0.9_m0.009_TV.png
fruits.bmp,gaussian,Moreau-Yosida,0.9000000000000001,0.009000000000000001,31.115210886805972,0.21601477384321574,Testing2\fruits_gaussian_s0.9_m0.009_MoreauYosida.png
fruits.bmp,gaussian,TV,1.0000000000000002,0.010000000000000002,29.488827721386745,0.10726312856065907,Testing2\fruits_gaussian_s1.0_m0.010_TV.png
fruits.bmp,gaussian,Moreau-Yosida,1.0000000000000002,0.010000000000000002,31.14634420151493,0.21813954972354446,Testing2\fruits_gaussian_s1.0_m0.010_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.1,0.001,30.114407394165312,0.250774496646176,Testing2\goldhill_salt_pepper_s0.1_m0.001_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.1,0.001,29.35990572300122,0.16458764336539722,Testing2\goldhill_salt_pepper_s0.1_m0.001_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.2,0.002,29.271317022692905,0.19020790020943942,Testing2\goldhill_salt_pepper_s0.2_m0.002_TV.png
goldhill.bmp,salt_pepper,Moreau-Yosida,0.2,0.002,29.353490887438994,0.16614087765931315,Testing2\goldhill_salt_pepper_s0.2_m0.002_MoreauYosida.png
goldhill.bmp,salt_pepper,TV,0.3,0.003,28.914765153858397,0.14918695977246527,Testing2\goldhill_salt_pepper_s0.3_m0.003_TV.png
