image,strength_luma,strength_chroma,psnr,ssim,output_path
airplane.bmp,0.1,0.1,33.305001561765344,0.8716524527479536,output\airplane_luma0.10_chroma0.10.png
airplane.bmp,0.1,0.5,32.14270524954245,0.8698134935996357,output\airplane_luma0.10_chroma0.50.png
airplane.bmp,0.1,0.9,37.96931485352286,0.9981088661957617,output\airplane_luma0.10_chroma0.90.png
airplane.bmp,0.5,0.1,30.708899733494583,0.7262660249602072,output\airplane_luma0.50_chroma0.10.png
airplane.bmp,0.5,0.5,30.802138189326755,0.7257014885215799,output\airplane_luma0.50_chroma0.50.png
airplane.bmp,0.5,0.9,37.65584052113997,0.9795451082042363,output\airplane_luma0.50_chroma0.90.png
airplane.bmp,0.9,0.1,29.969257744844995,0.67969257309236,output\airplane_luma0.90_chroma0.10.png
airplane.bmp,0.9,0.5,30.31049960383053,0.6800129156928334,output\airplane_luma0.90_chroma0.50.png
airplane.bmp,0.9,0.9,37.16262160942796,0.959473605308853,output\airplane_luma0.90_chroma0.90.png
boats.bmp,0.1,0.1,32.98909902558199,0.8272393740213828,output\boats_luma0.10_chroma0.10.png
boats.bmp,0.1,0.5,44.853314685458614,0.9871002874306666,output\boats_luma0.10_chroma0.50.png
boats.bmp,0.1,0.9,48.126240218207954,0.9925786589287368,output\boats_luma0.10_chroma0.90.png
boats.bmp,0.5,0.1,30.21342322604213,0.6717896025828258,output\boats_luma0.50_chroma0.10.png
boats.bmp,0.5,0.5,39.08797334226768,0.9523711357975181,output\boats_luma0.50_chroma0.50.png
boats.bmp,0.5,0.9,38.70574206529524,0.9523493267827013,output\boats_luma0.50_chroma0.90.png
boats.bmp,0.9,0.1,29.710128630325414,0.6289915322059937,output\boats_luma0.90_chroma0.10.png
boats.bmp,0.9,0.5,29.745643869859148,0.6308349031054065,output\boats_luma0.90_chroma0.50.png
boats.bmp,0.9,0.9,37.15050452034508,0.93920552812731,output\boats_luma0.90_chroma0.90.png
BoatsColor.bmp,0.1,0.1,32.40877408031859,0.8387905119928255,output\BoatsColor_luma0.10_chroma0.10.png
BoatsColor.bmp,0.1,0.5,31.72337086802674,0.8380859289494349,output\BoatsColor_luma0.10_chroma0.50.png
BoatsColor.bmp,0.1,0.9,39.018154562131514,0.997692144198183,output\BoatsColor_luma0.10_chroma0.90.png
BoatsColor.bmp,0.5,0.1,30.126282878426128,0.6603401650052677,output\BoatsColor_luma0.50_chroma0.10.png
BoatsColor.bmp,0.5,0.5,30.00802679351944,0.6609922106415963,output\BoatsColor_luma0.50_chroma0.50.png
BoatsColor.bmp,0.5,0.9,38.282369373859666,0.9787889876468162,output\BoatsColor_luma0.50_chroma0.90.png
BoatsColor.bmp,0.9,0.1,29.590527825675856,0.6064228730833316,output\BoatsColor_luma0.90_chroma0.10.png
BoatsColor.bmp,0.9,0.5,29.53322521227015,0.6073029053048983,output\BoatsColor_luma0.90_chroma0.50.png
BoatsColor.bmp,0.9,0.9,37.56024024364972,0.9589637420980288,output\BoatsColor_luma0.90_chroma0.90.png
goldhill.bmp,0.1,0.1,31.263482310207763,0.7308335948060563,output\goldhill_luma0.10_chroma0.10.png
goldhill.bmp,0.1,0.5,30.923454130421412,0.7337363805920157,output\goldhill_luma0.10_chroma0.50.png
goldhill.bmp,0.1,0.9,30.91337391650525,0.7419715919444497,output\goldhill_luma0.10_chroma0.90.png
goldhill.bmp,0.5,0.1,29.687521007135423,0.5683201184686036,output\goldhill_luma0.50_chroma0.10.png
goldhill.bmp,0.5,0.5,29.609911738369156,0.5698941546076393,output\goldhill_luma0.50_chroma0.50.png
goldhill.bmp,0.5,0.9,29.60097639870944,0.5725200611802407,output\goldhill_luma0.50_chroma0.90.png
goldhill.bmp,0.9,0.1,29.126969471410966,0.5273953627795167,output\goldhill_luma0.90_chroma0.10.png
goldhill.bmp,0.9,0.5,29.123589930715905,0.528771137232951,output\goldhill_luma0.90_chroma0.50.png
goldhill.bmp,0.9,0.9,29.150197731770056,0.5313379233721063,output\goldhill_luma0.90_chroma0.90.png
airplane.ppm,0.1,0.1,33.305001561765344,0.8716524527479536,output\airplane_luma0.10_chroma0.10.png
airplane.ppm,0.1,0.5,32.14270524954245,0.8698134935996357,output\airplane_luma0.10_chroma0.50.png
airplane.ppm,0.1,0.9,37.96931485352286,0.9981088661957617,output\airplane_luma0.10_chroma0.90.png
airplane.ppm,0.5,0.1,30.708899733494583,0.7262660249602072,output\airplane_luma0.50_chroma0.10.png
airplane.ppm,0.5,0.5,30.802138189326755,0.7257014885215799,output\airplane_luma0.50_chroma0.50.png
